vm,vc,ts,sp,id,hot,rad,,,
3,13.74213527,479.7,10,25,28.79880047,28.05176645,,,
3,13.75253619,479.8,10,25,28.79758906,28.05033185,,,
3,13.76283795,479.9,10,25,28.7963769,28.0488987,,,
3,13.77304145,480,10,25,28.79516401,28.04746701,,,
3,13.78314762,480.1,10,25,28.79395041,28.04603677,,,
3,13.79315734,480.2,10,25,28.79273611,28.04460798,,,
3,13.80307153,480.3,10,25,28.79152113,28.04318063,,,
3,13.81289106,480.4,10,25,28.79030549,28.04175471,,,
3,13.82261681,480.5,10,25,28.7890892,28.04033023,,,
3,13.83224966,480.6,10,25,28.78787227,28.03890717,,,
3,13.84179046,480.7,10,25,28.78665473,28.03748555,,,
3,13.85124007,480.8,10,25,28.78543659,28.03606534,,,
3,13.86059933,480.9,10,25,28.78421785,28.03464655,,,
3,13.86986908,481,10,25,28.78299854,28.03322917,,,
3,13.87905015,481.1,10,25,28.78177868,28.03181321,,,
3,13.88814337,481.2,10,25,28.78055827,28.03039865,,,
3,13.89714955,481.3,10,25,28.77933732,28.02898549,,,
3,13.9060695,481.4,10,25,28.77811587,28.02757373,,,
3,13.91490401,481.5,10,25,28.77689391,28.02616336,,,
3,13.92365389,481.6,10,25,28.77567146,28.02475439,,,
3,13.9323199,481.7,10,25,28.77444854,28.0233468,,,
3,13.94090285,481.8,10,25,28.77322516,28.0219406,,,
3,13.94940348,481.9,10,25,28.77200134,28.02053578,,,
3,13.95782258,482,10,25,28.77077708,28.01913233,,,
3,13.96616089,482.1,10,25,28.76955239,28.01773026,,,
3,13.97441916,482.2,10,25,28.76832731,28.01632955,,,
3,13.98259814,482.3,10,25,28.76710183,28.01493021,,,
3,13.99069856,482.4,10,25,28.76587596,28.01353224,,,
3,13.99872115,482.5,10,25,28.76464973,28.01213562,,,
3,14.00666664,482.6,10,25,28.76342315,28.01074036,,,
3,14.01453573,482.7,10,25,28.76219622,28.00934645,,,
3,14.02232915,482.8,10,25,28.76096896,28.00795388,,,
3,14.03004758,482.9,10,25,28.75974138,28.00656267,,,
3,14.03769173,483,10,25,28.7585135,28.00517279,,,
3,14.04526229,483.1,10,25,28.75728532,28.00378426,,,
3,14.05275994,483.2,10,25,28.75605686,28.00239706,,,
3,14.06018535,483.3,10,25,28.75482813,28.00101119,,,
3,14.0675392,483.4,10,25,28.75359914,27.99962665,,,
